,acc1_x,acc1_y,acc1_z,acc2_x,acc2_y,acc2_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,force
168,-0.07453302405198776,0.40565864974006116,-0.28958613112130477,-0.028076171875637105,-0.4803466796890927,0.3096923828134556,-0.01553738858,-0.0009360273538,-0.0114446953676,-0.00019276805498046875,6.827656053466797e-05,0.0005935730168823242,1
169,0.1885300940061162,0.6179037968501528,-0.1157062629714577,0.15686035156472986,-0.4190673828134556,0.4445800781243629,-0.0194746367792,0.0489968257776,-0.011261567544400001,-0.00019276805498046875,6.827656053466797e-05,0.0005935730168823242,1
170,-0.44301672567278283,0.2703882309836901,-0.31143938468909277,-0.2358398437512742,-0.17370605468909275,0.3276367187512742,-0.0297908374874,0.1006693932298,-0.0136422292462,-0.00019276805498046875,6.827656053466797e-05,0.0005935730168823242,1
171,-0.09830911976554535,0.2397753632059123,-0.44179587352191635,-0.2811279296890927,-0.2854003906269113,0.16052246093781855,-0.026525057973199997,-0.022880844836400002,-0.018891893511799998,-0.00019276805498046875,6.827656053466797e-05,0.0005935730168823242,1
172,-0.011903308511722731,0.3450738615545362,-0.3799902331804281,-0.1916503906269113,-0.35839843749745154,0.20690917968909275,-0.0177044011548,-0.0288324990912,-0.012024600141200001,-0.000193606176953125,6.95409412841797e-05,0.0005931410132324218,1
173,-0.08530704431702345,0.3769686240978593,-0.32953851788481137,-0.1125488281243629,-0.3669433593730887,0.3356933593730887,-0.0116001403808,-0.0181500427366,-0.0048520937316,-0.000193606176953125,6.95409412841797e-05,0.0005931410132324218,1
174,-0.08900012208460753,0.37727383714067275,-0.29694176535168193,-0.06164550781345565,-0.3726806640621814,0.4030761718756371,-0.0104403308338,-0.018058478825,-0.0017694420408,-0.000193606176953125,6.95409412841797e-05,0.0005931410132324218,1
175,-0.10474911488277268,0.382065681845056,-0.2913868880479103,-0.03674316406218144,-0.3724365234352701,0.38793945312436284,-0.0121800451542,-0.0175396166592,-0.0012811011788,-0.000193606176953125,6.95409412841797e-05,0.0005931410132324218,1
176,-0.10654987180937818,0.3805396166513761,-0.3037174948114169,-0.028076171875637105,-0.3677978515647298,0.3480224609378186,-0.0155679098838,-0.021263215731399998,-0.0034481137536,-0.000193606176953125,6.95409412841797e-05,0.0005935730168823242,1
177,-0.1061530948623853,0.37235990721712536,-0.3118972042507645,-0.04931640624872578,-0.3564453125025484,0.310546875,-0.0170939750774,-0.026757050428,-0.0050962641626,-0.000193606176953125,6.95409412841797e-05,0.0005935730168823242,1
178,-0.10456598705912334,0.36418019777777777,-0.3140031742150866,-0.07165527343527013,-0.35668945312436284,0.2935791015647298,-0.0172771029006,-0.027367476505399998,-0.007110670218,-0.000193606176953125,6.95409412841797e-05,0.0005935730168823242,1
179,-0.09898058845056065,0.3659504334046891,-0.31510194115698265,-0.08691406250254842,-0.3572998046890928,0.3046875,-0.0166361555194,-0.025047857411199997,-0.008667256715400001,-0.000193606176953125,6.95409412841797e-05,0.0005935730168823242,1
180,-0.09727139543323139,0.36680502991335373,-0.31772677328746174,-0.09045410156472986,-0.3641357421865443,0.3210449218756371,-0.015293218148999999,-0.0248036869802,-0.008667256715400001,-0.0001944442989379883,6.95409412841797e-05,0.0005935730168823242,1
181,-0.09113661335372068,0.37330606763506624,-0.3138200463914373,-0.08654785156472987,-0.3693847656269113,0.3341064453109072,-0.0145607068562,-0.0266960078202,-0.0084841288922,-0.0001944442989379883,6.95409412841797e-05,0.0005935730168823242,1
182,-0.09034305945463812,0.3754730802089704,-0.30850933952089704,-0.0803222656269113,-0.3687744140621814,0.3389892578134556,-0.0145607068562,-0.0276116469364,-0.0083315223728,-0.0001944442989379883,6.95409412841797e-05,0.0005935730168823242,1
183,-0.09217433768603465,0.3785862532059123,-0.3044194848012232,-0.07617187499999999,-0.3762207031243629,0.3343505859378185,-0.0148964411988,-0.0270622634666,-0.0077821389032,-0.000193606176953125,7.08053220336914e-05,0.0005931410132324218,1
184,-0.09470760590723751,0.3820962031498471,-0.3041142717635066,-0.07543945312436288,-0.37231445312436284,0.333984375,-0.0158426016188,-0.027459040417,-0.0076295323838,-0.000193606176953125,7.08053220336914e-05,0.0005931410132324218,1
185,-0.0965999267482161,0.3766939323649337,-0.3092418508103975,-0.07702636718654433,-0.3692626953109072,0.3393554687512742,-0.016330942480600002,-0.0280389451904,-0.008056830638,-0.000193606176953125,7.08053220336914e-05,0.0005931410132324218,1
186,-0.09702722500509683,0.3775180075688073,-0.31049322427115184,-0.07775878906218145,-0.3674316406269113,0.3438720703109072,-0.0167887620386,-0.0289240630028,-0.0081178732458,-0.000193606176953125,7.08053220336914e-05,0.0005931410132324218,1
187,-0.09717983152395514,0.37831156146788986,-0.3071053595412844,-0.07995605468909275,-0.3690185546890927,0.3452148437512742,-0.018528476359199998,-0.0276116469364,-0.0084230862844,-0.0001944442989379883,7.249116303710937e-05,0.0005948690278320312,1
188,-0.09965205713557594,0.3813636918552497,-0.3043889634964322,-0.07421874999999999,-0.375,0.3415527343730887,-0.0191083811328,-0.0262076669582,-0.008514650196,-0.0001944442989379883,7.249116303710937e-05,0.0005948690278320312,1
189,-0.1067024783282365,0.3816383835932722,-0.2998107679153924,-0.07312011718654433,-0.3757324218756371,0.34741210937308864,-0.0203292332876,-0.0256888047924,-0.0088503845386,-0.0001944442989379883,7.249116303710937e-05,0.0005948690278320312,1
190,-0.10978513002038734,0.3838053961671763,-0.29898669271151884,-0.07043457031090723,-0.3767089843730887,0.3463134765647299,-0.021214351099799997,-0.0256888047924,-0.009613417135400001,-0.0001944442989379883,7.249116303710937e-05,0.0005948690278320312,1
191,-0.11005982175331294,0.38685752655453615,-0.2963008179714577,-0.06652832031090723,-0.3787841796890927,0.3446044921865443,-0.022709894989399997,-0.026055060438999997,-0.010468013643800001,-0.0001948633599243164,7.08053220336914e-05,0.0005931410132324218,1
192,-0.10795385178899083,0.38881088999999996,-0.29309608106523954,-0.06567382812436288,-0.3781738281243629,0.33740234375127415,-0.023533970193999998,-0.0271233060744,-0.0115057379754,-0.0001948633599243164,7.08053220336914e-05,0.0005931410132324218,1
193,-0.1053595409582059,0.3886582834811417,-0.2915394945667686,-0.06542968749745158,-0.37866210937308864,0.3270263671865443,-0.024937950172,-0.0282220730138,-0.012696068826199999,-0.0001948633599243164,7.08053220336914e-05,0.0005931410132324218,1
